league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
ENG-Premier League,2324,West Ham United,Tomáš Souček,CZE,MF,28,1995,31.9,7,42,15,35.7,1.32,0.47,0.17,0.47,0,0
ENG-Premier League,2324,West Ham United,Vladimír Coufal,CZE,DF,30,1992,34.8,0,8,2,25.0,0.23,0.06,0.0,0.0,0,0
ENG-Premier League,2324,West Ham United,Łukasz Fabiański,POL,GK,38,1985,8.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Wolves,Boubacar Traoré,MLI,MF,21,2001,9.1,0,11,1,9.1,1.21,0.11,0.0,0.0,0,0
ENG-Premier League,2324,Wolves,Craig Dawson,ENG,DF,33,1990,24.5,1,16,5,31.3,0.65,0.2,0.06,0.2,0,0
ENG-Premier League,2324,Wolves,Daniel Bentley,ENG,GK,30,1993,4.3,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Wolves,Enso Gonzalez,PAR,FW,18,2005,0.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Wolves,Fábio Silva,POR,FW,21,2002,2.9,0,7,3,42.9,2.39,1.02,0.0,0.0,0,0
ENG-Premier League,2324,Wolves,Hugo Bueno,ESP,"MF,DF",20,2002,8.2,0,5,0,0.0,0.61,0.0,0.0,,0,0
ENG-Premier League,2324,Wolves,Hwang Hee-chan,KOR,"FW,MF",27,1996,23.5,12,45,18,40.0,1.91,0.76,0.24,0.61,1,1
ENG-Premier League,2324,Wolves,Jean-Ricner Bellegarde,HAI,"MF,FW",25,1998,10.6,2,15,5,33.3,1.41,0.47,0.13,0.4,0,0
ENG-Premier League,2324,Wolves,Jonny Castro,ESP,"DF,MF",29,1994,0.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Wolves,José Sá,POR,GK,30,1993,33.7,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Wolves,João Gomes,BRA,MF,22,2001,29.4,2,26,8,30.8,0.88,0.27,0.08,0.25,0,0
ENG-Premier League,2324,Wolves,Leon Chiwome,ENG,FW,17,2006,1.9,0,2,0,0.0,1.03,0.0,0.0,,0,0
ENG-Premier League,2324,Wolves,Mario Lemina,GAB,MF,29,1993,33.0,4,48,18,37.5,1.46,0.55,0.08,0.22,0,0
ENG-Premier League,2324,Wolves,Matheus Cunha,BRA,"FW,MF",24,1999,27.1,12,73,38,52.1,2.69,1.4,0.15,0.29,1,1
ENG-Premier League,2324,Wolves,Matheus Nunes,POR,MF,24,1998,2.0,0,1,0,0.0,0.5,0.0,0.0,,0,0
ENG-Premier League,2324,Wolves,Matt Doherty,IRL,"MF,DF",31,1992,12.8,1,8,3,37.5,0.63,0.23,0.13,0.33,0,0
ENG-Premier League,2324,Wolves,Max Kilman,ENG,DF,26,1997,38.0,2,14,6,42.9,0.37,0.16,0.14,0.33,0,0
ENG-Premier League,2324,Wolves,Nathan Fraser,IRL,FW,18,2005,2.1,0,3,2,66.7,1.45,0.97,0.0,0.0,0,0
ENG-Premier League,2324,Wolves,Nélson Semedo,POR,"MF,DF",29,1993,34.3,0,17,4,23.5,0.5,0.12,0.0,0.0,0,0
ENG-Premier League,2324,Wolves,Pablo Sarabia,ESP,"MF,FW",31,1992,19.4,4,46,18,39.1,2.37,0.93,0.04,0.11,2,2
ENG-Premier League,2324,Wolves,Pedro Neto,POR,"MF,FW",23,2000,16.8,2,36,12,33.3,2.14,0.71,0.06,0.17,0,0
ENG-Premier League,2324,Wolves,Rayan Aït-Nouri,ALG,"MF,DF",22,2001,25.9,2,23,7,30.4,0.89,0.27,0.09,0.29,0,0
ENG-Premier League,2324,Wolves,Santiago Bueno,URU,DF,24,1998,9.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Wolves,Sasa Kalajdzic,AUT,FW,26,1997,1.8,2,4,2,50.0,2.17,1.08,0.5,1.0,0,0
ENG-Premier League,2324,Wolves,Tawanda Chirewa,ZIM,FW,19,2003,1.6,0,3,1,33.3,1.86,0.62,0.0,0.0,0,0
ENG-Premier League,2324,Wolves,Tommy Doyle,ENG,MF,21,2001,13.6,0,14,3,21.4,1.03,0.22,0.0,0.0,0,0
ENG-Premier League,2324,Wolves,Toti Gomes,POR,DF,24,1999,30.8,1,10,5,50.0,0.32,0.16,0.1,0.2,0,0
