player,team,nation,pos,age,born,league,season,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_MP_playing_time,Playing Time_Min_playing_time,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_playing_time,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Marcus Rashford,Manchester Utd,ENG,"MF,FW",25,1997,ENG-Premier League,2324,33,26,2271,25.2,7,2,9,5,2,2,2,0,0.28,0.08,0.36,0.2,0.28,25.2,7,62,21,33.9,2.46,0.83,0.08,0.24,2,2,33,2271.0,69.0,66.4,25.2,26,83.0,12,7,17.0,0,1.61,36.0,37.0,-1.0,-0.04,-0.04,25.2,2,0,0,12,21,12,35,4,13,,,0
Mason Mount,Manchester Utd,ENG,MF,24,1999,ENG-Premier League,2324,14,5,516,5.7,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,5.7,1,5,1,20.0,0.87,0.17,0.2,1.0,0,0,14,516.0,37.0,15.1,5.7,5,74.0,0,9,16.0,0,1.36,3.0,13.0,-10.0,-1.74,-2.02,5.7,2,0,0,10,9,0,14,6,14,,,0
Omari Forson,Manchester Utd,ENG,MF,19,2004,ENG-Premier League,2324,4,1,70,0.8,0,1,1,0,0,0,0,0,0.0,1.29,1.29,0.0,1.29,0.8,0,1,0,0.0,1.29,0.0,0.0,,0,0,4,70.0,18.0,2.0,0.8,1,52.0,0,3,6.0,9,0.75,1.0,2.0,-1.0,-1.29,-1.29,0.8,0,0,0,1,0,0,0,0,0,,,0
Raphaël Varane,Manchester Utd,FRA,DF,30,1993,ENG-Premier League,2324,22,16,1375,15.3,1,0,1,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,15.3,1,8,2,25.0,0.52,0.13,0.13,0.5,0,0,22,1375.0,63.0,40.2,15.3,16,81.0,12,6,12.0,4,1.91,25.0,23.0,2.0,0.13,0.26,15.3,2,0,0,8,3,2,0,14,10,,,0
Rasmus Højlund,Manchester Utd,DEN,FW,20,2003,ENG-Premier League,2324,30,25,2158,24.0,10,2,12,10,0,0,2,0,0.42,0.08,0.5,0.42,0.5,24.0,10,38,21,55.3,1.58,0.88,0.26,0.48,0,0,30,2158.0,72.0,63.1,24.0,25,81.0,8,5,26.0,0,1.6,36.0,35.0,1.0,0.04,0.18,24.0,2,0,0,20,30,15,6,1,6,,,0
Scott McTominay,Manchester Utd,SCO,"MF,FW",26,1996,ENG-Premier League,2324,32,18,1901,21.1,7,1,8,7,0,0,2,0,0.33,0.05,0.38,0.33,0.38,21.1,7,44,19,43.2,2.08,0.9,0.16,0.37,0,0,32,1901.0,59.0,55.6,21.1,18,88.0,16,14,23.0,2,1.81,31.0,30.0,1.0,0.05,0.17,21.1,2,0,0,27,21,6,4,14,23,,,0
Sergio Reguilón,Manchester Utd,ESP,DF,26,1996,ENG-Premier League,2324,9,4,412,4.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,4.6,0,4,0,0.0,0.87,0.0,0.0,,0,0,9,412.0,46.0,12.0,4.6,4,83.0,1,5,16.0,5,1.0,4.0,7.0,-3.0,-0.66,-0.72,4.6,3,0,0,4,11,3,30,5,9,,,0
Sofyan Amrabat,Manchester Utd,MAR,"MF,DF",26,1996,ENG-Premier League,2324,21,10,938,10.4,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,10.4,0,3,0,0.0,0.29,0.0,0.0,,0,0,21,938.0,45.0,27.4,10.4,10,83.0,6,11,10.0,8,1.71,8.0,15.0,-7.0,-0.67,-0.89,10.4,6,0,0,24,10,0,7,8,15,,,0
Victor Lindelöf,Manchester Utd,SWE,DF,29,1994,ENG-Premier League,2324,19,14,1328,14.8,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,14.8,1,6,4,66.7,0.41,0.27,0.17,0.25,0,0,19,1328.0,70.0,38.8,14.8,14,82.0,7,5,37.0,2,1.95,18.0,15.0,3.0,0.2,0.38,14.8,2,0,0,15,2,3,1,13,11,,,0
Willy Kambwala,Manchester Utd,FRA,DF,18,2004,ENG-Premier League,2324,8,3,330,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3.7,0,0,0,,0.0,0.0,,,0,0,8,330.0,41.0,9.6,3.7,3,88.0,2,5,13.0,8,1.0,5.0,10.0,-5.0,-1.36,-1.48,3.7,1,0,0,4,2,0,0,4,1,,,0
