player,team,nation,pos,age,born,league,season,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_MP_playing_time,Playing Time_Min_playing_time,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_playing_time,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Philip Billing,Bournemouth,DEN,MF,27,1996,ENG-Premier League,2324,29,13,1398,15.5,2,2,4,2,0,0,3,1,0.13,0.13,0.26,0.13,0.26,15.5,2,30,8,26.7,1.93,0.52,0.07,0.25,0,0,29,1398.0,48.0,40.9,15.5,13,83.0,6,16,20.0,4,1.24,18.0,36.0,-18.0,-1.16,-1.38,15.5,3,1,0,19,12,0,28,18,19,,,0
Romain Faivre,Bournemouth,FRA,MF,25,1998,ENG-Premier League,2324,5,0,41,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0,2,0,0.0,4.39,0.0,0.0,,0,0,5,41.0,8.0,1.2,0.5,0,,0,5,8.0,8,0.4,0.0,1.0,-1.0,-2.2,-1.88,0.5,1,0,0,2,4,0,3,0,1,,,0
Ryan Christie,Bournemouth,SCO,MF,28,1995,ENG-Premier League,2324,37,35,2907,32.3,0,5,5,0,0,0,6,0,0.0,0.15,0.15,0.0,0.15,32.3,0,43,13,30.2,1.33,0.4,0.0,0.0,0,0,37,2907.0,79.0,85.0,32.3,35,81.0,18,2,29.0,0,1.22,44.0,55.0,-11.0,-0.34,0.01,32.3,6,0,0,47,38,5,73,51,43,,,0
Tyler Adams,Bournemouth,USA,MF,24,1999,ENG-Premier League,2324,3,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3,0,0,0,,0.0,0.0,,,0,0,3,121.0,40.0,3.5,1.3,1,90.0,1,2,16.0,2,2.0,4.0,3.0,1.0,0.74,1.13,1.3,0,0,0,0,3,0,1,4,3,,,0
Aaron Hickey,Brentford,SCO,"DF,MF",21,2002,ENG-Premier League,2324,9,9,713,7.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,7.9,0,7,1,14.3,0.88,0.13,0.0,0.0,0,0,9,713.0,79.0,20.8,7.9,9,79.0,2,0,,0,1.11,10.0,12.0,-2.0,-0.25,-0.02,7.9,5,0,0,10,16,0,5,3,10,,,0
Ben Mee,Brentford,ENG,DF,33,1989,ENG-Premier League,2324,16,15,1272,14.1,2,0,2,2,0,0,1,1,0.14,0.0,0.14,0.14,0.14,14.1,2,10,2,20.0,0.71,0.14,0.2,1.0,0,0,16,1272.0,80.0,37.2,14.1,15,85.0,11,1,1.0,2,0.81,16.0,26.0,-10.0,-0.71,-0.75,14.1,1,1,0,7,3,2,5,13,14,,,0
Bryan Mbeumo,Brentford,CMR,FW,23,1999,ENG-Premier League,2324,25,22,1960,21.8,9,6,15,6,3,3,2,0,0.41,0.28,0.69,0.28,0.55,21.8,9,53,20,37.7,2.43,0.92,0.11,0.3,3,3,25,1960.0,78.0,57.3,21.8,22,87.0,18,3,17.0,0,1.28,37.0,31.0,6.0,0.28,1.2,21.8,2,0,0,22,42,4,93,7,9,,,0
Christian Nørgaard,Brentford,DEN,MF,29,1994,ENG-Premier League,2324,31,30,2505,27.8,2,1,3,2,0,0,8,0,0.07,0.04,0.11,0.07,0.11,27.8,2,35,7,20.0,1.26,0.25,0.06,0.29,0,0,31,2505.0,81.0,73.2,27.8,30,83.0,20,1,20.0,0,0.97,36.0,51.0,-15.0,-0.54,-1.13,27.8,8,0,0,41,32,1,22,53,50,,,0
Ethan Pinnock,Brentford,JAM,DF,30,1993,ENG-Premier League,2324,29,28,2521,28.0,2,0,2,2,0,0,1,0,0.07,0.0,0.07,0.07,0.07,28.0,2,19,4,21.1,0.68,0.14,0.11,0.5,0,0,29,2521.0,87.0,73.7,28.0,28,90.0,28,1,1.0,0,1.21,44.0,46.0,-2.0,-0.07,0.63,28.0,1,0,0,5,11,0,7,43,23,,,0
Frank Onyeka,Brentford,NGA,MF,25,1998,ENG-Premier League,2324,26,11,1161,12.9,1,2,3,1,0,0,8,0,0.08,0.16,0.23,0.08,0.23,12.9,1,22,9,40.9,1.71,0.7,0.05,0.11,0,0,26,1161.0,45.0,33.9,12.9,11,78.0,3,15,20.0,4,0.85,17.0,27.0,-10.0,-0.78,-0.82,12.9,8,0,0,24,31,4,16,23,20,,,0
Ivan Toney,Brentford,ENG,FW,27,1996,ENG-Premier League,2324,17,16,1450,16.1,4,2,6,4,0,0,5,0,0.25,0.12,0.37,0.25,0.37,16.1,4,51,22,43.1,3.17,1.37,0.08,0.18,0,0,17,1450.0,85.0,42.4,16.1,16,90.0,16,1,10.0,1,0.82,20.0,30.0,-10.0,-0.62,-0.67,16.1,5,0,0,24,29,7,22,10,4,,,0
Josh Dasilva,Brentford,ENG,MF,24,1998,ENG-Premier League,2324,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,0,0,,0.0,0.0,,,0,0,3,24.0,8.0,0.7,0.3,0,,0,3,8.0,1,2.0,0.0,0.0,0.0,0.0,0.24,0.3,0,0,0,2,0,0,6,0,1,,,0
Keane Lewis-Potter,Brentford,ENG,"FW,MF",22,2001,ENG-Premier League,2324,30,15,1441,16.0,3,1,4,3,0,0,0,0,0.19,0.06,0.25,0.19,0.25,16.0,3,43,22,51.2,2.69,1.37,0.07,0.14,0,0,30,1441.0,48.0,42.1,16.0,15,78.0,2,15,18.0,3,0.93,24.0,29.0,-5.0,-0.31,-0.13,16.0,0,0,0,8,18,3,50,7,7,,,0
Kevin Schade,Brentford,GER,FW,21,2001,ENG-Premier League,2324,11,3,333,3.7,2,1,3,2,0,0,0,0,0.54,0.27,0.81,0.54,0.81,3.7,2,8,4,50.0,2.16,1.08,0.25,0.5,0,0,11,333.0,30.0,9.7,3.7,3,73.0,0,8,14.0,0,1.45,8.0,5.0,3.0,0.81,1.16,3.7,0,0,0,10,6,2,5,1,2,,,0
Kristoffer Ajer,Brentford,NOR,DF,25,1998,ENG-Premier League,2324,28,21,1832,20.4,2,1,3,2,0,0,5,0,0.1,0.05,0.15,0.1,0.15,20.4,2,12,4,33.3,0.59,0.2,0.17,0.5,0,0,28,1832.0,65.0,53.6,20.4,21,84.0,13,7,11.0,1,1.14,28.0,33.0,-5.0,-0.25,-0.02,20.4,5,0,0,25,10,1,22,21,23,,,0
Mads Roerslev,Brentford,DEN,"MF,DF",24,1999,ENG-Premier League,2324,34,22,1985,22.1,1,2,3,1,0,0,1,0,0.05,0.09,0.14,0.05,0.14,22.1,1,7,1,14.3,0.32,0.05,0.14,1.0,0,0,34,1985.0,58.0,58.0,22.1,22,79.0,8,12,20.0,3,1.09,32.0,40.0,-8.0,-0.36,-0.3,22.1,1,0,0,10,15,3,61,20,31,,,0
Mathias Jensen,Brentford,DEN,MF,27,1996,ENG-Premier League,2324,32,27,2204,24.5,3,3,6,3,0,0,5,0,0.12,0.12,0.25,0.12,0.25,24.5,3,14,7,50.0,0.57,0.29,0.21,0.43,0,0,32,2204.0,69.0,64.4,24.5,27,77.0,5,5,27.0,0,1.09,37.0,45.0,-8.0,-0.33,-0.25,24.5,5,0,0,28,20,1,111,21,33,,,0
Mathias Jørgensen,Brentford,DEN,DF,33,1990,ENG-Premier League,2324,14,12,1087,12.1,1,0,1,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08,12.1,1,8,2,25.0,0.66,0.17,0.13,0.5,0,0,14,1087.0,78.0,31.8,12.1,12,90.0,11,2,4.0,23,0.57,16.0,24.0,-8.0,-0.66,-0.62,12.1,4,0,0,11,6,3,9,11,12,,,0
Michael Olakigbe,Brentford,ENG,MF,19,2004,ENG-Premier League,2324,8,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0,3,1,33.3,4.58,1.53,0.0,0.0,0,0,8,59.0,7.0,1.7,0.7,0,,0,8,7.0,9,0.63,1.0,0.0,1.0,1.53,1.79,0.7,0,0,0,2,2,1,7,1,0,,,0
Mikkel Damsgaard,Brentford,DEN,MF,23,2000,ENG-Premier League,2324,23,7,842,9.4,0,2,2,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21,9.4,0,9,4,44.4,0.96,0.43,0.0,0.0,0,0,23,842.0,37.0,24.6,9.4,7,75.0,0,16,20.0,3,0.87,17.0,9.0,8.0,0.86,1.45,9.4,2,0,0,14,8,3,29,12,18,,,0
Myles Peart-Harris,Brentford,ENG,MF,20,2002,ENG-Premier League,2324,3,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,,0.0,0.0,,,0,0,3,13.0,4.0,0.4,0.1,0,,0,3,4.0,6,1.0,0.0,0.0,0.0,0.0,0.24,0.1,0,0,0,2,2,0,1,0,0,,,0
Nathan Collins,Brentford,IRL,DF,22,2001,ENG-Premier League,2324,32,29,2652,29.5,1,1,2,1,0,0,3,0,0.03,0.03,0.07,0.03,0.07,29.5,1,10,2,20.0,0.34,0.07,0.1,0.5,0,0,32,2652.0,83.0,77.5,29.5,29,90.0,28,3,18.0,1,1.13,47.0,51.0,-4.0,-0.14,0.45,29.5,3,0,0,13,23,3,4,43,20,,,0
Neal Maupay,Brentford,FRA,FW,26,1996,ENG-Premier League,2324,29,13,1321,14.7,6,3,9,6,0,0,8,0,0.41,0.2,0.61,0.41,0.61,14.7,6,37,16,43.2,2.52,1.09,0.16,0.38,0,0,29,1321.0,46.0,38.6,14.7,13,83.0,5,16,15.0,2,0.97,24.0,35.0,-11.0,-0.75,-0.84,14.7,8,0,0,19,26,4,8,2,7,,,0
Rico Henry,Brentford,JAM,DF,26,1997,ENG-Premier League,2324,5,5,401,4.5,0,1,1,0,0,0,1,0,0.0,0.22,0.22,0.0,0.22,4.5,0,2,0,0.0,0.45,0.0,0.0,,0,0,5,401.0,80.0,11.7,4.5,5,80.0,4,0,,0,1.2,8.0,5.0,3.0,0.67,1.03,4.5,1,0,0,4,6,2,11,5,5,,,0
Saman Ghoddos,Brentford,IRN,"DF,MF",29,1993,ENG-Premier League,2324,19,7,739,8.2,1,0,1,1,0,0,5,0,0.12,0.0,0.12,0.12,0.12,8.2,1,9,2,22.2,1.1,0.24,0.11,0.5,0,0,19,739.0,39.0,21.6,8.2,7,88.0,5,12,10.0,13,0.74,10.0,20.0,-10.0,-1.22,-1.25,8.2,5,0,0,12,9,2,43,5,21,,,0
Sergio Reguilón,Brentford,ESP,"MF,DF",26,1996,ENG-Premier League,2324,16,14,1118,12.4,0,4,4,0,0,0,4,1,0.0,0.32,0.32,0.0,0.32,12.4,0,13,2,15.4,1.05,0.16,0.0,0.0,0,0,16,1118.0,70.0,32.7,12.4,14,77.0,6,2,18.0,0,1.19,21.0,21.0,0.0,0.0,0.35,12.4,4,1,0,10,15,1,72,15,22,,,0
Shandon Baptiste,Brentford,GRN,MF,25,1998,ENG-Premier League,2324,10,2,229,2.5,1,1,2,1,0,0,1,0,0.39,0.39,0.79,0.39,0.79,2.5,1,2,2,100.0,0.79,0.79,0.5,0.5,0,0,10,229.0,23.0,6.7,2.5,2,66.0,0,8,12.0,11,1.0,3.0,5.0,-2.0,-0.79,-0.59,2.5,1,0,0,3,0,0,3,3,3,,,0
Vitaly Janelt,Brentford,GER,"MF,DF",25,1998,ENG-Premier League,2324,38,37,3054,33.9,1,3,4,1,0,0,8,0,0.03,0.09,0.12,0.03,0.12,33.9,1,21,7,33.3,0.62,0.21,0.05,0.14,0,0,38,3054.0,80.0,89.3,33.9,37,82.0,16,1,18.0,0,1.03,50.0,52.0,-2.0,-0.06,1.66,33.9,8,0,0,27,28,3,58,37,36,,,0
Yehor Yarmoliuk,Brentford,UKR,MF,19,2004,ENG-Premier League,2324,27,6,688,7.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7.6,0,11,5,45.5,1.44,0.65,0.0,0.0,0,0,27,688.0,25.0,20.1,7.6,6,61.0,0,21,15.0,11,1.19,13.0,9.0,4.0,0.52,0.95,7.6,2,0,0,11,6,1,13,6,11,,,0
Yoane Wissa,Brentford,COD,FW,26,1996,ENG-Premier League,2324,34,29,2493,27.7,12,3,15,12,0,0,7,0,0.43,0.11,0.54,0.43,0.54,27.7,12,67,26,38.8,2.42,0.94,0.18,0.46,0,0,34,2493.0,73.0,72.9,27.7,29,81.0,9,5,30.0,0,0.97,40.0,40.0,0.0,0.0,0.87,27.7,7,0,0,38,50,19,21,9,14,,,0
Adam Lallana,Brighton,ENG,MF,35,1988,ENG-Premier League,2324,25,13,850,9.4,0,1,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,9.4,0,11,2,18.2,1.16,0.21,0.0,0.0,0,0,25,850.0,34.0,24.9,9.4,13,53.0,0,12,13.0,8,1.24,12.0,13.0,-1.0,-0.11,0.1,9.4,2,0,0,9,11,2,7,3,3,,,0
Adam Webster,Brighton,ENG,DF,28,1995,ENG-Premier League,2324,15,13,1144,12.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,12.7,0,8,1,12.5,0.63,0.08,0.0,0.0,0,0,15,1144.0,76.0,33.5,12.7,13,85.0,11,2,18.0,12,1.13,16.0,22.0,-6.0,-0.47,-0.43,12.7,2,0,0,9,2,0,1,16,12,,,1
Ansu Fati,Brighton,ESP,"MF,FW",20,2002,ENG-Premier League,2324,19,3,521,5.8,2,0,2,2,0,0,2,0,0.35,0.0,0.35,0.35,0.35,5.8,2,26,11,42.3,4.49,1.9,0.08,0.18,0,0,19,521.0,27.0,15.2,5.8,3,50.0,0,16,23.0,5,1.26,12.0,12.0,0.0,0.0,0.22,5.8,2,0,0,6,13,2,3,2,3,,,0
Benicio Boaitey,Brighton,ENG,FW,19,2004,ENG-Premier League,2324,5,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0,1,0,0.0,2.25,0.0,0.0,,0,0,5,40.0,8.0,1.2,0.4,0,,0,5,8.0,9,1.0,1.0,1.0,0.0,0.0,0.19,0.4,1,0,0,2,0,1,0,0,0,,,0
Billy Gilmour,Brighton,SCO,MF,22,2001,ENG-Premier League,2324,30,24,2120,23.6,0,1,1,0,0,0,8,1,0.0,0.04,0.04,0.0,0.04,23.6,0,25,5,20.0,1.06,0.21,0.0,0.0,0,0,30,2120.0,71.0,62.0,23.6,24,83.0,13,6,22.0,1,1.4,40.0,37.0,3.0,0.13,0.82,23.6,8,1,0,22,30,0,33,10,18,,,0
Carlos Baleba,Brighton,CMR,MF,19,2004,ENG-Premier League,2324,27,15,1325,14.7,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,14.7,0,21,5,23.8,1.43,0.34,0.0,0.0,0,0,27,1325.0,49.0,38.7,14.7,15,78.0,7,12,13.0,7,1.07,14.0,28.0,-14.0,-0.95,-1.25,14.7,7,0,0,40,27,0,0,18,21,,,0
Danny Welbeck,Brighton,ENG,"FW,MF",32,1990,ENG-Premier League,2324,29,21,1693,18.8,5,1,6,5,0,0,4,0,0.27,0.05,0.32,0.27,0.32,18.8,5,41,16,39.0,2.18,0.85,0.12,0.31,0,0,29,1693.0,58.0,49.5,18.8,21,70.0,4,8,28.0,1,1.21,25.0,28.0,-3.0,-0.16,0.05,18.8,4,0,0,12,21,9,3,8,18,,,0
Evan Ferguson,Brighton,IRL,FW,18,2004,ENG-Premier League,2324,27,15,1367,15.2,6,0,6,6,0,0,1,0,0.4,0.0,0.4,0.4,0.4,15.2,6,33,20,60.6,2.17,1.32,0.18,0.3,0,0,27,1367.0,51.0,40.0,15.2,15,71.0,4,12,25.0,1,1.48,25.0,28.0,-3.0,-0.2,-0.02,15.2,1,0,0,23,25,5,1,2,7,,,0
Facundo Buonanotte,Brighton,ARG,"MF,FW",18,2004,ENG-Premier League,2324,27,17,1364,15.2,3,1,4,3,0,0,7,0,0.2,0.07,0.26,0.2,0.26,15.2,3,21,9,42.9,1.39,0.59,0.14,0.33,0,0,27,1364.0,51.0,39.9,15.2,17,65.0,1,10,25.0,6,1.19,19.0,20.0,-1.0,-0.07,0.2,15.2,7,0,0,34,41,3,6,7,22,,,0
Igor,Brighton,BRA,DF,25,1998,ENG-Premier League,2324,24,17,1637,18.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,18.2,0,5,0,0.0,0.27,0.0,0.0,,0,0,24,1637.0,68.0,47.9,18.2,17,82.0,11,7,34.0,10,1.17,22.0,26.0,-4.0,-0.22,-0.07,18.2,4,0,0,21,4,0,1,14,18,,,0
Jack Hinshelwood,Brighton,ENG,"DF,MF",18,2005,ENG-Premier League,2324,12,8,869,9.7,3,0,3,3,0,0,1,0,0.31,0.0,0.31,0.31,0.31,9.7,3,14,8,57.1,1.45,0.83,0.21,0.38,0,0,12,869.0,72.0,25.4,9.7,8,81.0,3,4,56.0,4,1.33,15.0,17.0,-2.0,-0.21,-0.03,9.7,1,0,0,11,3,1,10,14,5,,,0
Jakub Moder,Brighton,POL,"MF,DF",24,1999,ENG-Premier League,2324,17,6,618,6.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,6.9,0,11,3,27.3,1.6,0.44,0.0,0.0,0,0,17,618.0,36.0,18.1,6.9,6,73.0,1,11,16.0,10,1.35,6.0,13.0,-7.0,-1.02,-1.02,6.9,2,0,0,8,5,2,6,1,10,,,0
James Milner,Brighton,ENG,"DF,MF",37,1986,ENG-Premier League,2324,15,11,773,8.6,0,2,2,0,0,0,3,0,0.0,0.23,0.23,0.0,0.23,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,0,0,15,773.0,52.0,22.6,8.6,11,63.0,1,4,20.0,2,1.47,10.0,12.0,-2.0,-0.23,-0.06,8.6,3,0,0,11,4,3,29,8,14,,,0
Jan Paul van Hecke,Brighton,NED,DF,23,2000,ENG-Premier League,2324,28,26,2369,26.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,26.3,0,15,6,40.0,0.57,0.23,0.0,0.0,0,0,28,2369.0,85.0,69.3,26.3,26,90.0,26,2,15.0,4,1.32,40.0,38.0,2.0,0.08,0.85,26.3,4,0,0,14,17,0,4,30,25,,,0
João Pedro,Brighton,BRA,"MF,FW",21,2001,ENG-Premier League,2324,31,19,2045,22.7,9,3,12,5,4,5,2,0,0.4,0.13,0.53,0.22,0.35,22.7,9,75,26,34.7,3.3,1.14,0.07,0.19,4,5,31,2045.0,66.0,59.8,22.7,19,85.0,9,12,36.0,0,1.29,32.0,38.0,-6.0,-0.26,-0.2,22.7,2,0,0,19,60,11,29,10,15,,,0
Joël Veltman,Brighton,NED,DF,31,1992,ENG-Premier League,2324,27,17,1588,17.6,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,17.6,1,6,3,50.0,0.34,0.17,0.17,0.33,0,0,27,1588.0,59.0,46.4,17.6,17,80.0,13,10,22.0,2,1.3,28.0,32.0,-4.0,-0.23,-0.08,17.6,4,0,0,16,42,1,11,18,41,,,0
Julio Enciso,Brighton,PAR,MF,19,2004,ENG-Premier League,2324,12,5,475,5.3,0,2,2,0,0,0,2,0,0.0,0.38,0.38,0.0,0.38,5.3,0,28,8,28.6,5.31,1.52,0.0,0.0,0,0,12,475.0,40.0,13.9,5.3,5,65.0,0,7,22.0,1,1.25,8.0,11.0,-3.0,-0.57,-0.45,5.3,2,0,0,6,10,1,8,0,2,,,0
Kaoru Mitoma,Brighton,JPN,"MF,FW",26,1997,ENG-Premier League,2324,19,15,1486,16.5,3,4,7,3,0,0,4,0,0.18,0.24,0.42,0.18,0.42,16.5,3,34,15,44.1,2.06,0.91,0.09,0.2,0,0,19,1486.0,78.0,43.5,16.5,15,88.0,12,4,42.0,0,1.42,31.0,27.0,4.0,0.24,0.75,16.5,4,0,0,14,23,7,45,5,5,,,0
Lewis Dunk,Brighton,ENG,DF,31,1991,ENG-Premier League,2324,33,33,2869,31.9,3,1,4,3,0,0,7,1,0.09,0.03,0.13,0.09,0.13,31.9,3,33,12,36.4,1.04,0.38,0.09,0.25,0,0,33,2869.0,87.0,83.9,31.9,33,87.0,29,0,,0,1.3,49.0,52.0,-3.0,-0.09,0.56,31.9,7,1,0,23,12,1,7,31,16,,,0
Mahmoud Dahoud,Brighton,GER,MF,27,1996,ENG-Premier League,2324,9,6,452,5.0,0,1,1,0,0,0,1,1,0.0,0.2,0.2,0.0,0.2,5.0,0,6,1,16.7,1.19,0.2,0.0,0.0,0,0,9,452.0,50.0,13.2,5.0,6,68.0,0,3,16.0,8,2.11,10.0,5.0,5.0,1.0,1.36,5.0,1,1,0,6,2,0,3,1,4,,,0
Mark O'Mahony,Brighton,IRL,FW,18,2005,ENG-Premier League,2324,3,1,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.7,0,1,0,0.0,1.43,0.0,0.0,,0,0,3,63.0,21.0,1.8,0.7,1,45.0,0,2,9.0,8,0.33,0.0,1.0,-1.0,-1.43,-1.27,0.7,1,0,0,1,0,0,0,0,0,,,0
Odeluga Offiah,Brighton,ENG,DF,20,2002,ENG-Premier League,2324,4,1,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.4,0,0,0,,0.0,0.0,,,0,0,4,128.0,32.0,3.7,1.4,1,73.0,0,3,18.0,4,0.25,1.0,3.0,-2.0,-1.41,-1.27,1.4,0,0,0,2,2,0,3,1,0,,,0
Pascal Groß,Brighton,GER,"MF,DF",32,1991,ENG-Premier League,2324,36,34,3114,34.6,4,10,14,3,1,1,6,0,0.12,0.29,0.4,0.09,0.38,34.6,4,55,20,36.4,1.59,0.58,0.05,0.15,1,1,36,3114.0,87.0,91.1,34.6,34,90.0,32,2,33.0,0,1.25,50.0,50.0,0.0,0.0,2.06,34.6,6,0,0,23,27,3,240,21,46,,,0
Pervis Estupiñán,Brighton,ECU,"DF,MF",25,1998,ENG-Premier League,2324,19,15,1243,13.8,2,3,5,2,0,0,4,0,0.14,0.22,0.36,0.14,0.36,13.8,2,11,6,54.5,0.8,0.43,0.18,0.33,0,0,19,1243.0,65.0,36.3,13.8,15,76.0,9,4,24.0,1,1.47,23.0,26.0,-3.0,-0.22,-0.05,13.8,4,0,0,22,17,5,65,20,13,,,1
Simon Adingra,Brighton,CIV,MF,21,2002,ENG-Premier League,2324,31,25,2222,24.7,6,1,7,6,0,0,3,0,0.24,0.04,0.28,0.24,0.28,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,0,0,31,2222.0,72.0,65.0,24.7,25,83.0,10,6,26.0,1,1.19,34.0,38.0,-4.0,-0.16,0.06,24.7,3,0,0,29,19,18,76,21,20,,,0
Solly March,Brighton,ENG,"MF,DF",29,1994,ENG-Premier League,2324,7,7,554,6.2,3,1,4,3,0,0,1,0,0.49,0.16,0.65,0.49,0.65,6.2,3,14,6,42.9,2.27,0.97,0.21,0.5,0,0,7,554.0,79.0,16.2,6.2,7,79.0,2,0,,1,1.43,13.0,11.0,2.0,0.32,0.61,6.2,1,0,0,11,8,7,21,11,13,,,0
Tariq Lamptey,Brighton,GHA,"DF,MF",22,2000,ENG-Premier League,2324,19,10,914,10.2,0,3,3,0,0,0,3,0,0.0,0.3,0.3,0.0,0.3,10.2,0,6,0,0.0,0.59,0.0,0.0,,0,0,19,914.0,48.0,26.7,10.2,10,67.0,1,9,27.0,0,1.32,12.0,20.0,-8.0,-0.79,-0.82,10.2,3,0,0,11,18,3,32,5,14,,,0
Valentín Barco,Brighton,ARG,DF,19,2004,ENG-Premier League,2324,6,3,307,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3.4,0,4,2,50.0,1.17,0.59,0.0,0.0,0,0,6,307.0,51.0,9.0,3.4,3,87.0,2,3,16.0,4,0.5,1.0,9.0,-8.0,-2.35,-2.37,3.4,1,0,0,7,7,0,30,4,5,,,0
Aaron Ramsey,Burnley,ENG,MF,20,2003,ENG-Premier League,2324,14,5,527,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5.9,0,6,2,33.3,1.02,0.34,0.0,0.0,0,0,14,527.0,38.0,15.4,5.9,5,68.0,0,9,21.0,3,0.36,4.0,17.0,-13.0,-2.22,-1.47,5.9,1,0,0,7,3,1,2,1,14,,,0
Ameen Al-Dakhil,Burnley,BEL,DF,21,2002,ENG-Premier League,2324,13,12,1056,11.7,1,0,1,1,0,0,1,0,0.09,0.0,0.09,0.09,0.09,11.7,1,8,3,37.5,0.68,0.26,0.13,0.33,0,0,13,1056.0,81.0,30.9,11.7,12,86.0,11,1,21.0,2,0.38,10.0,26.0,-16.0,-1.36,-0.56,11.7,1,0,0,6,4,0,3,11,5,,,1
Anass Zaroury,Burnley,MAR,FW,22,2000,ENG-Premier League,2324,6,1,152,1.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.7,0,3,1,33.3,1.78,0.59,0.0,0.0,0,0,6,152.0,25.0,4.4,1.7,1,67.0,0,5,17.0,7,0.17,2.0,4.0,-2.0,-1.18,-0.22,1.7,0,1,0,4,3,0,11,0,0,,,0
Benson Manuel,Burnley,ANG,MF,26,1997,ENG-Premier League,2324,8,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3,0,4,2,50.0,3.1,1.55,0.0,0.0,0,0,8,116.0,15.0,3.4,1.3,1,45.0,0,7,10.0,13,0.13,0.0,5.0,-5.0,-3.88,-3.01,1.3,0,0,0,1,4,0,9,0,2,,,0
Charlie Taylor,Burnley,ENG,DF,29,1993,ENG-Premier League,2324,28,25,2331,25.9,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,25.9,1,10,1,10.0,0.39,0.04,0.1,1.0,0,0,28,2331.0,83.0,68.2,25.9,25,88.0,22,3,40.0,2,0.75,31.0,46.0,-15.0,-0.58,1.24,25.9,8,0,0,20,16,2,71,21,20,,,0
Connor Roberts,Burnley,WAL,DF,27,1995,ENG-Premier League,2324,14,8,823,9.1,0,1,1,0,0,0,5,1,0.0,0.11,0.11,0.0,0.11,9.1,0,0,0,,0.0,0.0,,,0,0,14,823.0,59.0,24.1,9.1,8,88.0,6,6,20.0,5,0.64,7.0,22.0,-15.0,-1.64,-0.88,9.1,5,1,1,5,9,3,10,4,5,,,0
Dara O'Shea,Burnley,IRL,DF,24,1999,ENG-Premier League,2324,33,32,2892,32.1,3,4,7,3,0,0,5,1,0.09,0.12,0.22,0.09,0.22,32.1,3,19,5,26.3,0.59,0.16,0.16,0.6,0,0,33,2892.0,88.0,84.6,32.1,32,89.0,29,1,45.0,1,0.58,36.0,71.0,-35.0,-1.09,-0.75,32.1,5,1,0,36,15,1,11,33,18,,,1
